decision_idx,agent_x,agent_y,chosen_idx,subgoal_x,subgoal_y,R,k,termination,q_selected,num_valid,timestamp
185,2.628580685757371,3.846979788593123,0,-3.899965422304825,0.9352939631358975,0.307737827166291,10,MAX_STEPS,10.56838321685791,7,2629673
195,0.3453658799775796,2.8286821156762767,0,-3.899965422304825,0.9352939631358975,0.2901592060654718,10,MAX_STEPS,10.582268714904785,7,2629673
205,-1.9378488489799506,1.8103842705094555,0,-3.899965422304825,0.9352939631358975,0.27849127039736143,10,MAX_STEPS,10.589271545410156,7,2629673
206,-2.1661703218685298,1.7085544859766881,0,-3.899965422304825,0.9352939631358975,2.5036041984181594,1,SUBGOAL_REACHED,10.58984661102295,7,2629673
216,-0.3177904379427964,0.23343985334175296,2,7.745417792085655,-4.184520016942785,1.4724891142714356,10,MAX_STEPS,,5,2629673
225,-1.9305068613401792,0.9042863090121779,0,-3.899965422304825,0.9352939631358975,2.6662676871603956,9,SUBGOAL_REACHED,10.627440452575684,7,2629673
235,-0.221349742291872,2.6982090889375288,1,5.719643134462145,7.962250548245428,2.5803768608568496,10,MAX_STEPS,10.657179832458496,6,2629673
245,1.9304904032210657,3.968396110377994,4,8.454627544558683,7.644633529205729,2.6127794939432105,10,MAX_STEPS,10.694424629211426,7,2629673
255,-0.09412346596037538,2.9306483381906014,0,-3.899965422304825,0.9352939631358975,0.15128047738493586,10,MAX_STEPS,10.738296508789062,7,2629673
265,-2.3082725307404948,1.7698107451751988,0,-3.899965422304825,0.9352939631358975,2.5194267796875063,10,SUBGOAL_REACHED,10.771783828735352,7,2629673
275,-0.3490085053513725,0.40480106500815877,2,7.745417792085655,-4.184520016942785,1.5990664448551015,10,MAX_STEPS,,5,2629673
285,1.7290611066726687,1.7260508892921769,3,9.71735803852219,8.12265168862908,2.536128351345681,10,MAX_STEPS,10.851837158203125,7,2629673
295,3.1199376570719366,3.7995653167144026,1,5.719643134462145,7.962250548245428,2.5982912497767097,10,MAX_STEPS,10.897908210754395,7,2629673
305,0.7740334938128484,3.762166852861484,5,-3.7038243653573746,2.9032488407907437,0.40342408154834897,10,MAX_STEPS,10.949579238891602,7,2629673
315,2.4296875648929506,5.354476290282514,6,15.0,15.0,2.3067760410180598,10,MAX_STEPS,,7,2629673
325,0.5528487697346691,4.068470948770549,0,-3.899965422304825,0.9352939631358975,0.1278949465768389,10,MAX_STEPS,11.038675308227539,7,2629673
335,-1.4917387615590874,2.629839020686328,0,-3.899965422304825,0.9352939631358975,0.2396744508057105,10,MAX_STEPS,11.074457168579102,7,2629673
345,0.33111918281095637,3.991091680801987,1,5.719643134462145,7.962250548245428,2.292022628746749,10,MAX_STEPS,11.101133346557617,7,2629673
355,2.3316918206216775,5.490324426954245,6,15.0,15.0,2.629488800548594,10,MAX_STEPS,11.133638381958008,7,2629673
