mihir@mihir-jetson:~/Data/DTQN/fov$ python train_dtqn.py 500 --eval-every 25 --save-every 10 --video-every 25
[ep   66/500] OK   | dec= 26 R= +70.90 gdist=  1.8 | eps=0.4344 buf=  4169 upd=  4169 | 2.0s
[ep   67/500] OK   | dec= 17 R= +85.74 gdist=  1.9 | eps=0.4329 buf=  4186 upd=  4186 | 1.2s
[ep   68/500] OK   | dec= 29 R= +82.82 gdist=  2.0 | eps=0.4304 buf=  4215 upd=  4215 | 2.1s
[ep   69/500] OK   | dec= 42 R= +44.94 gdist=  1.9 | eps=0.4268 buf=  4257 upd=  4257 | 3.2s
[ep   70/500] OK   | dec= 25 R= +73.96 gdist=  1.8 | eps=0.4247 buf=  4282 upd=  4282 | 1.8s
[ep   71/500] OK   | dec= 53 R= +80.55 gdist=  1.8 | eps=0.4202 buf=  4335 upd=  4335 | 4.2s
[ep   72/500] OK   | dec= 45 R= +68.12 gdist=  1.8 | eps=0.4164 buf=  4380 upd=  4380 | 3.7s
[ep   73/500] OK   | dec= 33 R= +89.84 gdist=  1.9 | eps=0.4137 buf=  4413 upd=  4413 | 2.5s
[ep   74/500] OK   | dec= 45 R= +98.34 gdist=  2.0 | eps=0.4100 buf=  4458 upd=  4458 | 3.3s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep   75/500] OK   | dec= 58 R= +66.63 gdist=  1.8 | eps=0.4052 buf=  4516 upd=  4516 | 122.5s [video saved]
  >>> Last 25 eps: success=100.00%  avg_R=+82.10  total_time=612s
[ep   76/500] OK   | dec= 40 R= +65.70 gdist=  1.8 | eps=0.4020 buf=  4556 upd=  4556 | 3.3s
[ep   77/500] OK   | dec= 45 R= +90.61 gdist=  1.9 | eps=0.3984 buf=  4601 upd=  4601 | 3.5s
[ep   78/500] OK   | dec= 13 R= +77.61 gdist=  1.9 | eps=0.3974 buf=  4614 upd=  4614 | 1.1s
[ep   79/500] OK   | dec= 77 R=+137.17 gdist=  1.9 | eps=0.3913 buf=  4691 upd=  4691 | 6.5s
[ep   80/500] OK   | dec= 37 R=+114.20 gdist=  1.9 | eps=0.3884 buf=  4728 upd=  4728 | 3.2s
[ep   81/500] OK   | dec= 49 R= +38.73 gdist=  1.9 | eps=0.3846 buf=  4777 upd=  4777 | 4.0s
[ep   82/500] OK   | dec= 14 R= +77.27 gdist=  1.8 | eps=0.3835 buf=  4791 upd=  4791 | 1.0s
[ep   83/500] OK   | dec= 31 R=+112.46 gdist=  1.8 | eps=0.3812 buf=  4822 upd=  4822 | 2.4s
[ep   84/500] OK   | dec= 28 R= +79.56 gdist=  1.9 | eps=0.3790 buf=  4850 upd=  4850 | 2.1s
python train_dtqn.py 500 --eval-every [ep   85/500] OK   | dec= 91 R=+114.80 gdist=  2.0 | eps=0.3722 buf=  4941 upd=  4941 | 6.7s
[ep   86/500] OK   | dec= 27 R=+111.04 gdist=  1.9 | eps=0.3702 buf=  4968 upd=  4968 | 2.0s
[ep   87/500] OK   | dec= 36 R= +37.46 gdist=  2.0 | eps=0.3675 buf=  5004 upd=  5004 | 2.7s
[ep   88/500] FAIL | dec=100 R=+176.42 gdist= 18.4 | eps=0.3603 buf=  5104 upd=  5104 | 8.0s
[ep   89/500] OK   | dec= 50 R=+129.59 gdist=  1.8 | eps=0.3567 buf=  5154 upd=  5154 | 3.8s
[ep   90/500] OK   | dec= 91 R=+101.44 gdist=  2.0 | eps=0.3503 buf=  5245 upd=  5245 | 7.1s
[ep   91/500] OK   | dec= 31 R= +70.97 gdist=  1.9 | eps=0.3481 buf=  5276 upd=  5276 | 2.7s
[ep   92/500] FAIL | dec=100 R= -20.93 gdist= 22.2 | eps=0.3412 buf=  5376 upd=  5376 | 8.3s
[ep   93/500] FAIL | dec=100 R= +97.99 gdist= 18.8 | eps=0.3344 buf=  5476 upd=  5476 | 8.0s
[ep   94/500] OK   | dec= 36 R= +62.78 gdist=  1.9 | eps=0.3320 buf=  5512 upd=  5512 | 3.1s
[ep   95/500] OK   | dec= 29 R= +82.27 gdist=  1.8 | eps=0.3301 buf=  5541 upd=  5541 | 2.4s
[ep   96/500] OK   | dec= 26 R= +88.53 gdist=  2.0 | eps=0.3284 buf=  5567 upd=  5567 | 2.2s
[ep   97/500] OK   | dec= 19 R= +86.92 gdist=  1.8 | eps=0.3272 buf=  5586 upd=  5586 | 1.6s
[ep   98/500] OK   | dec= 21 R= +97.11 gdist=  1.9 | eps=0.3258 buf=  5607 upd=  5607 | 1.8s
[ep   99/500] OK   | dec= 90 R=+154.65 gdist=  1.9 | eps=0.3200 buf=  5697 upd=  5697 | 7.4s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep  100/500] OK   | dec= 18 R= +87.32 gdist=  1.8 | eps=0.3188 buf=  5715 upd=  5715 | 34.4s [video saved]
  >>> Last 25 eps: success=88.00%  avg_R=+90.87  total_time=741s
[ep  101/500] OK   | dec= 14 R= +81.61 gdist=  2.0 | eps=0.3179 buf=  5729 upd=  5729 | 1.2s
[ep  102/500] OK   | dec= 28 R= +48.36 gdist=  2.0 | eps=0.3162 buf=  5757 upd=  5757 | 2.4s
[ep  103/500] OK   | dec= 50 R= +42.11 gdist=  1.8 | eps=0.3130 buf=  5807 upd=  5807 | 4.2s
[ep  104/500] FAIL | dec=100 R= -96.37 gdist= 13.9 | eps=0.3068 buf=  5907 upd=  5907 | 8.1s
[ep  105/500] OK   | dec= 76 R=+111.84 gdist=  1.9 | eps=0.3022 buf=  5983 upd=  5983 | 5.6s
[ep  106/500] OK   | dec= 97 R=+100.35 gdist=  2.0 | eps=0.2964 buf=  6080 upd=  6080 | 7.1s
